@relation sensordata

@attribute max numeric
@attribute min numeric
@attribute std_dev numeric
@attribute activity {Cycling,Walking}

@data
13.102375,6.910453,2.235798,Cycling
12.530027,7.188088,2.287296,Cycling
15.919694,4.891297,2.232223,Cycling
17.023932,2.722765,2.242156,Cycling
15.479216,2.962702,2.080484,Cycling
13.036495,3.225838,2.238321,Cycling
12.608998,6.791727,2.219743,Cycling
12.859662,3.775103,2.140869,Cycling
12.591186,4.576931,2.05703,Cycling
12.762766,6.672359,2.227961,Cycling
12.673846,6.94288,2.241086,Cycling
12.713457,5.606109,2.186766,Cycling
14.350599,6.357622,2.284471,Cycling
12.366431,5.742015,2.116626,Cycling
15.100258,6.256441,2.199713,Cycling
14.201584,4.922922,2.209191,Cycling
13.965717,6.445049,2.250167,Cycling
17.029637,7.202211,2.359214,Cycling
11.47607,5.371691,1.904256,Cycling
15.474967,8.058456,2.489043,Cycling
15.25093,6.163623,2.227818,Cycling
13.934466,4.914243,2.004518,Cycling
15.230707,5.698979,2.351847,Cycling
15.804808,6.476448,2.328965,Cycling
12.59387,4.969035,1.938051,Cycling
15.881263,7.387722,2.430441,Cycling
18.875987,6.708377,2.303526,Cycling
11.567214,4.647613,1.901245,Cycling
16.422194,6.131446,2.489762,Cycling
16.645109,5.59076,2.265726,Cycling
11.570911,5.332167,1.937468,Cycling
13.166015,5.756262,2.143341,Cycling
14.985206,5.545992,2.099424,Cycling
16.42904,5.814915,2.416815,Cycling
13.456567,6.164269,2.161447,Cycling
15.100665,5.054959,2.107506,Cycling
17.130946,4.98553,2.422634,Cycling
12.628306,5.292037,2.114315,Cycling
15.101266,4.904905,2.146008,Cycling
17.344572,5.100904,2.397284,Cycling
17.069063,5.237992,2.2727,Cycling
17.349526,4.939985,2.232482,Cycling
16.827472,5.248967,2.265349,Cycling
15.810258,2.789035,2.133974,Cycling
17.507289,4.809117,2.228942,Cycling
15.605378,4.542795,2.159309,Cycling
17.926063,5.290892,2.265794,Cycling
13.665235,6.047468,2.224514,Cycling
15.21093,5.78442,2.205315,Cycling
11.809524,5.65165,2.124642,Cycling
12.590677,5.798087,2.185931,Cycling
14.852192,4.706298,2.219336,Cycling
12.549332,5.065077,2.218569,Cycling
12.529658,4.157759,1.976634,Cycling
17.117493,2.156922,2.175873,Cycling
16.939964,4.164579,2.235469,Cycling
15.42555,3.503594,2.235692,Cycling
17.083599,3.432811,2.220173,Cycling
17.660511,4.842481,2.249558,Cycling
18.003957,5.078921,2.259798,Cycling
16.525784,2.371771,2.14255,Cycling
16.847197,3.569,2.24006,Cycling
15.602723,4.802672,2.179827,Cycling
18.615094,3.905662,2.302593,Cycling
14.069054,2.947657,2.011111,Cycling
16.840697,2.590565,2.24964,Cycling
10.610119,8.058931,2.197504,Cycling
11.583505,6.823143,2.219196,Cycling
11.112385,6.353943,2.12136,Cycling
10.393932,5.045069,2.127,Cycling
9.852277,9.644683,2.204462,Cycling
9.987044,7.076563,2.169783,Cycling
9.787358,9.612412,2.2021,Cycling
9.774947,9.646938,2.202223,Cycling
9.739119,9.601036,2.199144,Cycling
12.184063,5.809967,2.145422,Cycling
12.492187,5.216286,2.034321,Cycling
13.331794,4.916478,2.181402,Cycling
15.003242,5.061612,2.2324,Cycling
14.248436,6.313554,2.257673,Cycling
14.5429,3.891976,2.021452,Cycling
13.694553,5.31219,2.205994,Cycling
14.080821,5.47059,2.228804,Cycling
13.165511,4.8851,2.222238,Cycling
13.678384,3.599498,2.145607,Cycling
13.826619,5.421667,2.117051,Cycling
11.482744,6.778288,2.21104,Cycling
13.722648,4.265422,2.24496,Cycling
12.837732,5.451345,2.194329,Cycling
11.50156,1.638225,1.991764,Cycling
13.541142,5.488203,2.195574,Cycling
12.997741,5.05077,2.217386,Cycling
17.293061,5.885498,2.262585,Cycling
17.554199,4.988332,2.226467,Cycling
11.802154,5.633878,2.179652,Cycling
13.981669,7.613051,2.247613,Cycling
15.718323,7.096281,2.339205,Cycling
30.378817,3.090603,2.403246,Cycling
15.219981,5.485318,2.111666,Cycling
10.352133,8.938387,2.207795,Cycling
9.815616,9.62858,2.205752,Cycling
9.781534,9.679072,2.20545,Cycling
9.884079,9.638343,2.208119,Cycling
9.904457,9.664386,2.210431,Cycling
9.870103,9.648883,2.208987,Cycling
9.959337,9.561225,2.206465,Cycling
9.896016,9.636187,2.208062,Cycling
9.893528,9.64856,2.209653,Cycling
9.933308,9.613997,2.209299,Cycling
9.87808,9.602274,2.206744,Cycling
9.84449,9.558954,2.20488,Cycling
9.928009,9.65333,2.209231,Cycling
10.130475,9.329942,2.212338,Cycling
10.01487,9.556274,2.209421,Cycling
9.875826,9.555666,2.203899,Cycling
9.830845,9.66339,2.208386,Cycling
9.847612,9.636803,2.206355,Cycling
9.839306,9.661385,2.20729,Cycling
9.862236,9.651672,2.208742,Cycling
9.812958,9.637125,2.207297,Cycling
9.81291,9.691146,2.208469,Cycling
11.620998,7.469803,2.204471,Cycling
14.666359,4.9947,2.193501,Cycling
19.875556,1.471876,2.104463,Cycling
15.626812,7.515094,2.358349,Cycling
16.587107,1.847994,2.059076,Cycling
17.222507,9.135187,2.405015,Cycling
13.270691,3.130123,2.014364,Cycling
14.002102,8.837006,2.378999,Cycling
15.818655,2.447943,2.050761,Cycling
14.882815,8.887364,2.401738,Cycling
13.80139,2.381442,1.984299,Cycling
17.24596,1.997379,2.111475,Cycling
12.709972,7.70229,2.275283,Cycling
11.329418,9.551714,2.318117,Cycling
10.319389,6.160363,2.007124,Cycling
12.654071,9.010628,2.351686,Cycling
11.346635,6.232141,2.198873,Cycling
11.946112,5.375308,2.172886,Cycling
12.039605,10.122343,2.337182,Cycling
11.484629,5.249078,2.021392,Cycling
12.22689,6.082462,2.318636,Cycling
14.281556,5.256811,2.223115,Cycling
12.956509,7.050664,2.323043,Cycling
12.273829,4.547846,2.036006,Cycling
12.355944,9.642654,2.359698,Cycling
13.090924,2.838445,2.189104,Cycling
12.440393,5.735912,2.206766,Cycling
12.098805,9.20284,2.290319,Cycling
11.965428,4.638325,2.11152,Cycling
12.263547,7.763858,2.256083,Cycling
12.247788,8.772685,2.293307,Cycling
12.250173,4.888764,2.223754,Cycling
11.231488,4.459373,2.043794,Cycling
13.108421,6.015056,2.152151,Cycling
12.602773,6.456886,2.225069,Cycling
11.57152,7.785096,2.246907,Cycling
11.307722,5.711264,2.096902,Cycling
11.203218,5.199724,2.119125,Cycling
11.984876,7.485668,2.25543,Cycling
11.041191,6.054523,2.13679,Cycling
11.163755,6.542502,2.151392,Cycling
11.909536,3.882079,2.055598,Cycling
14.365467,4.894213,2.154991,Cycling
12.835972,7.111993,2.245692,Cycling
12.084782,3.910182,2.186496,Cycling
11.872448,3.896168,1.983931,Cycling
12.844508,4.206782,2.142926,Cycling
13.433606,8.147927,2.285297,Cycling
13.422237,7.457756,2.26048,Cycling
10.984427,4.931041,2.127172,Cycling
12.121919,4.000044,2.108011,Cycling
11.995875,5.201289,2.184092,Cycling
12.29711,4.983209,2.206287,Cycling
12.397848,7.666441,2.230456,Cycling
15.422634,3.227198,2.084752,Cycling
12.444043,6.910433,2.157388,Cycling
11.736869,6.792696,2.184467,Cycling
11.747813,6.499642,2.106321,Cycling
11.949004,5.34482,2.102791,Cycling
12.646911,5.98038,2.153983,Cycling
12.77491,6.99156,2.25038,Cycling
11.721046,7.446463,2.201534,Cycling
12.140797,6.955761,2.192581,Cycling
11.336319,4.949909,2.121671,Cycling
11.214906,7.380613,2.186242,Cycling
18.965266,6.066737,2.234182,Cycling
11.712216,7.058177,2.267039,Cycling
11.024961,7.008098,2.182357,Cycling
10.487175,5.077375,2.139355,Cycling
17.975645,4.714821,2.097145,Cycling
11.853626,2.483012,2.146251,Cycling
13.350219,5.17677,2.157913,Cycling
12.402115,6.97269,2.190107,Cycling
11.571078,6.151034,2.210155,Cycling
11.739702,6.147463,2.166953,Cycling
9.234889,5.234939,1.912494,Cycling
11.848931,7.095862,2.208724,Cycling
12.21681,5.091434,2.20147,Cycling
12.692644,5.10235,2.223581,Cycling
11.997233,3.197471,2.158198,Cycling
11.498525,6.718266,2.178342,Cycling
12.506867,4.687354,2.11185,Cycling
13.320907,5.405512,2.21063,Cycling
11.968548,5.79376,2.183607,Cycling
11.023563,7.675772,2.206982,Cycling
19.204792,7.25511,2.368792,Cycling
20.690702,3.106366,2.312345,Cycling
11.767109,8.880936,2.320047,Cycling
11.979838,5.257424,2.066365,Cycling
12.71484,9.414193,2.330428,Cycling
12.233962,4.906351,2.137054,Cycling
12.644242,8.177004,2.275338,Cycling
12.712711,8.09089,2.322059,Cycling
10.51973,6.094993,2.023853,Cycling
13.094319,6.887046,2.319422,Cycling
14.824952,4.551233,2.053825,Cycling
12.517413,4.887977,2.236073,Cycling
12.316144,5.872778,2.225692,Cycling
11.616815,6.659805,2.183333,Cycling
16.215801,0.862235,2.048019,Cycling
13.26147,4.097064,2.167003,Cycling
12.899632,5.257766,2.229271,Cycling
19.983809,5.965133,2.272376,Cycling
12.471948,6.793578,2.182382,Cycling
12.847688,3.508974,2.190408,Cycling
11.517261,6.778526,2.16231,Cycling
10.155629,7.133435,2.189267,Cycling
15.629312,6.001109,2.271369,Cycling
15.097031,4.227661,2.288426,Cycling
14.289002,6.944517,2.274041,Cycling
12.27925,2.124198,2.085767,Cycling
12.110737,5.543811,2.114353,Cycling
12.37822,5.762876,2.191431,Cycling
12.897128,5.921019,2.194692,Cycling
12.366297,3.400085,2.120545,Cycling
17.61957,2.7277,2.340119,Cycling
12.272563,6.087516,2.218052,Cycling
12.10292,5.564184,2.151144,Cycling
12.219271,5.737332,2.162874,Cycling
13.75008,6.315402,2.209708,Cycling
12.718548,5.260951,2.224947,Cycling
12.724676,4.492205,2.183486,Cycling
12.843759,1.954143,1.904069,Cycling
14.945881,5.254309,2.21547,Cycling
15.525644,3.074801,2.241022,Cycling
15.114075,2.997261,2.225558,Cycling
13.156245,3.434723,2.081219,Cycling
14.30566,1.105621,2.158136,Cycling
13.787314,3.816826,2.263497,Cycling
13.909764,2.24061,2.214636,Cycling
12.791079,1.728894,2.063764,Cycling
12.428848,5.710415,2.135531,Cycling
12.907011,4.421389,2.224951,Cycling
13.340773,4.823992,2.303075,Cycling
12.07111,5.065811,2.13843,Cycling
13.503856,2.643871,2.094079,Cycling
13.001812,5.21963,2.131342,Cycling
12.69709,6.271511,2.25007,Cycling
11.909974,5.706401,2.206807,Cycling
12.434959,3.48569,1.892231,Cycling
11.841948,4.305723,2.166551,Cycling
12.288695,5.631081,2.208693,Cycling
12.67503,6.637285,2.229591,Cycling
11.874606,6.251427,2.140295,Cycling
12.015049,6.837389,2.091498,Cycling
11.979837,5.20423,2.221589,Cycling
13.667403,5.674256,2.274127,Cycling
12.685761,3.175939,2.105827,Cycling
11.412456,6.493976,2.149967,Cycling
12.577936,6.499434,2.318209,Cycling
12.410648,5.265073,2.218984,Cycling
12.584866,5.063019,2.218136,Cycling
12.037145,5.293693,2.073874,Cycling
12.111325,5.032591,2.221006,Cycling
13.600166,5.239672,2.19717,Cycling
13.681112,4.373666,2.274478,Cycling
13.192521,5.818361,2.186237,Cycling
12.368763,5.778104,2.238778,Cycling
12.500038,2.832893,1.993976,Cycling
12.293396,2.582694,2.064305,Cycling
12.332237,5.330353,2.217719,Cycling
12.470932,4.830093,2.209684,Cycling
13.033606,2.095011,2.101028,Cycling
15.082006,1.391562,2.15519,Cycling
13.099216,4.228893,2.189658,Cycling
12.808558,4.56167,2.233923,Cycling
12.620364,4.149984,2.15776,Cycling
11.730315,4.491961,2.097503,Cycling
11.938379,5.868431,2.219757,Cycling
12.291349,6.06069,2.222719,Cycling
13.43895,5.539159,2.277693,Cycling
11.737532,3.905925,2.003981,Cycling
18.993096,5.70678,2.324823,Cycling
23.429818,6.271765,2.431896,Cycling
13.758444,4.270397,2.292323,Cycling
10.814683,5.696497,1.944054,Cycling
12.213006,6.139837,2.045707,Cycling
12.276425,4.854532,2.203597,Cycling
12.150989,5.662904,2.18115,Cycling
12.029436,5.506446,2.07087,Cycling
11.730656,5.471756,2.071207,Cycling
12.839097,5.421422,2.199059,Cycling
14.264236,5.709964,2.276567,Cycling
12.975508,2.972599,2.188105,Cycling
13.560417,4.936888,2.166007,Cycling
13.291232,6.313453,2.171872,Cycling
13.079248,5.604206,2.204418,Cycling
12.187076,7.271373,2.261237,Cycling
12.388811,4.101941,2.05814,Cycling
12.856765,2.7395,2.057779,Cycling
12.416952,4.50796,2.202994,Cycling
13.207355,5.43168,2.227242,Cycling
12.640353,4.822435,2.210064,Cycling
13.123672,2.822187,2.087796,Cycling
12.940012,5.21251,2.212318,Cycling
12.99336,4.750203,2.214399,Cycling
12.096605,4.929591,2.187082,Cycling
11.249652,6.689246,2.121341,Cycling
11.320033,4.250039,2.080368,Cycling
11.91518,6.952966,2.243821,Cycling
14.871771,6.004077,2.207906,Cycling
10.616044,4.523781,2.038634,Cycling
11.812202,4.441858,2.04943,Cycling
11.474554,8.052366,2.234017,Cycling
10.806882,7.24638,2.200961,Cycling
11.696621,5.635067,2.173701,Cycling
12.278001,5.935055,2.061932,Cycling
12.928581,7.853058,2.21727,Cycling
11.520213,6.585195,2.175512,Cycling
13.72373,8.633645,2.30821,Cycling
11.814259,3.807357,2.011568,Cycling
12.537342,5.431335,2.122986,Cycling
12.463612,5.385194,2.224972,Cycling
15.133276,5.327376,2.291182,Cycling
15.94786,4.697091,2.081278,Cycling
13.507107,6.15712,2.140559,Cycling
17.04281,5.765573,2.323371,Cycling
12.255021,7.129618,2.228836,Cycling
12.644694,7.041082,2.198618,Cycling
11.938925,3.608599,2.116929,Cycling
14.714231,3.609744,2.282887,Cycling
13.246983,6.234296,2.193708,Cycling
11.77244,8.74469,2.253975,Cycling
12.828512,4.568344,2.057834,Cycling
12.677635,6.764507,2.176016,Cycling
12.735094,7.957636,2.23896,Cycling
12.478614,6.383408,2.196363,Cycling
11.147367,5.12065,2.113112,Cycling
17.199472,3.424426,2.119567,Cycling
11.991031,7.160063,2.225767,Cycling
11.953681,5.321369,2.181079,Cycling
12.689428,5.958342,2.200166,Cycling
13.426432,3.316456,2.163448,Cycling
14.791777,2.645589,2.231478,Cycling
14.174478,3.880639,2.162894,Cycling
13.427985,3.051816,2.139648,Cycling
13.238729,4.038652,2.202576,Cycling
13.405231,4.543699,2.265926,Cycling
15.393493,2.449038,2.078697,Cycling
14.528517,4.00011,2.117728,Cycling
13.178163,4.69257,2.228471,Cycling
13.563502,6.279459,2.247886,Cycling
14.390123,2.417345,2.067165,Cycling
14.280681,3.783308,2.127044,Cycling
12.91763,5.853234,2.169409,Cycling
13.430591,5.501149,2.216552,Cycling
13.299498,4.035951,2.112027,Cycling
12.889046,1.726057,2.004058,Cycling
13.598362,5.69879,2.259141,Cycling
13.683553,3.127439,2.203417,Cycling
14.854155,3.852519,2.202008,Cycling
13.40234,3.317561,2.106577,Cycling
14.365849,2.613002,2.138364,Cycling
13.721567,2.896487,2.244865,Cycling
12.849998,5.69961,2.199949,Cycling
11.988828,4.900251,2.198577,Cycling
11.808904,5.747007,2.06509,Cycling
11.353005,9.013987,2.230597,Cycling
10.72122,8.87706,2.228229,Cycling
10.874222,7.302064,2.188814,Cycling
11.092311,5.534648,2.072676,Cycling
11.351978,6.279098,2.171916,Cycling
10.978495,6.055335,2.125507,Cycling
11.270219,8.008827,2.220058,Cycling
11.278215,6.310467,2.11741,Cycling
11.727158,5.171775,2.185931,Cycling
11.184256,7.820553,2.157559,Cycling
12.191532,7.992338,2.227357,Cycling
11.548273,6.222899,2.109193,Cycling
11.338786,6.031642,2.150059,Cycling
11.252857,6.774854,2.142935,Cycling
11.470571,8.310948,2.226247,Cycling
11.322088,6.288252,2.158983,Cycling
11.753012,5.789662,2.073792,Cycling
11.138386,8.736625,2.222039,Cycling
14.001296,3.906907,2.159041,Cycling
11.669096,3.617308,2.125515,Cycling
13.30917,5.313389,2.219415,Cycling
12.981541,5.874783,2.208539,Cycling
11.885691,5.887163,2.211794,Cycling
12.492131,4.774016,2.159964,Cycling
10.931425,8.859386,2.213143,Cycling
11.332666,9.037769,2.226237,Cycling
11.173406,9.299703,2.237619,Cycling
13.720655,7.666547,2.225068,Cycling
11.456732,8.151625,2.224884,Cycling
10.900687,9.506885,2.265205,Cycling
11.192273,7.672002,2.240167,Cycling
16.557897,6.650626,2.232699,Cycling
20.689651,3.081154,2.306064,Cycling
22.937668,4.229931,2.381036,Cycling
11.524073,3.455531,2.013709,Cycling
12.635803,9.893659,2.374807,Cycling
12.405298,5.665702,2.244441,Cycling
13.521417,3.774244,2.130322,Cycling
12.099599,9.122179,2.314257,Cycling
11.65163,4.638539,2.107029,Cycling
11.628269,8.042595,2.200416,Cycling
12.55677,9.4712,2.308274,Cycling
12.679241,5.69247,2.151002,Cycling
12.790227,5.125944,2.240134,Cycling
12.323579,7.927385,2.290128,Cycling
12.345044,7.366044,2.145656,Cycling
11.061701,7.644449,2.176978,Cycling
12.389869,8.152983,2.27794,Cycling
15.073077,6.839443,2.263192,Cycling
12.616936,5.832123,2.094364,Cycling
12.297344,8.576209,2.25967,Cycling
11.729865,8.658902,2.26787,Cycling
12.52634,7.866867,2.226167,Cycling
10.497211,6.780912,2.155765,Cycling
11.647721,8.957051,2.280037,Cycling
11.731231,9.080445,2.288628,Cycling
10.048796,6.471804,2.067115,Cycling
12.101498,8.438503,2.261914,Cycling
11.715634,9.188397,2.259449,Cycling
11.605876,7.004545,2.177688,Cycling
11.547545,7.318862,2.16462,Cycling
11.535953,9.125932,2.281348,Cycling
12.235394,7.187271,2.263517,Cycling
10.192713,6.779092,2.062546,Cycling
12.180933,9.004679,2.27385,Cycling
12.173563,9.795271,2.311206,Cycling
10.575492,6.475232,2.068883,Cycling
12.267013,8.126792,2.256009,Cycling
12.22137,8.378522,2.286698,Cycling
12.158396,5.949935,2.176155,Cycling
11.132807,7.055753,2.17678,Cycling
11.536717,8.783615,2.265153,Cycling
12.489326,7.133947,2.253613,Cycling
10.34568,6.822963,2.065488,Cycling
12.237047,8.766533,2.30031,Cycling
12.219443,8.502187,2.290656,Cycling
10.499729,5.702127,2.072852,Cycling
12.619557,8.70106,2.285957,Cycling
11.093063,9.181027,2.265079,Cycling
12.87104,7.299195,2.16433,Cycling
11.474656,6.514214,2.146489,Cycling
12.056361,8.645966,2.289228,Cycling
11.311899,8.28634,2.275372,Cycling
9.770058,6.483789,2.063492,Cycling
11.2978,9.252843,2.295821,Cycling
11.999061,8.703756,2.306801,Cycling
10.546071,7.237067,2.091246,Cycling
12.076968,8.42875,2.24369,Cycling
11.707204,8.888227,2.29411,Cycling
12.607499,6.458081,2.163175,Cycling
11.349324,7.037,2.146735,Cycling
11.504547,9.273928,2.281887,Cycling
12.992211,7.460944,2.267991,Cycling
